2022-09-09 01:55:56, tb_device_mqtt INFO Trying to connect to 10.60.3.26...
2022-09-09 01:55:56, tb_device_mqtt INFO connection SUCCESS
2022-09-09 01:55:56, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes - successfully completed.
2022-09-09 01:55:56, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes/response - successfully completed.
2022-09-09 01:55:56, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/rpc - successfully completed.
2022-09-09 01:55:57, tb_gateway_mqtt DEBUG Connected device Bus A1
2022-09-09 01:56:02, __main__ INFO Publish Bus A1 Attribute - Color
2022-09-09 01:56:07, __main__ INFO Read Telemetry CSV. Total Record: 578
2022-09-09 01:56:14, __main__ DEBUG 0) Bus A1 {'ts': 1662659774276, 'values': {'fuel': 80, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 50, 'temp': 25, 'engine_temp': 195, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:15, __main__ DEBUG 0) Bus A1 {'ts': 1662659775287, 'values': {'fuel': 79.95, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 51.9, 'temp': 23.7, 'engine_temp': 303.2, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:16, __main__ DEBUG 0) Bus A1 {'ts': 1662659776298, 'values': {'fuel': 79.91, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 52.4, 'temp': 22.9, 'engine_temp': 301.1, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:17, __main__ DEBUG 0) Bus A1 {'ts': 1662659777305, 'values': {'fuel': 79.88, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 53.3, 'temp': 24.6, 'engine_temp': 304.6, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:18, __main__ DEBUG 0) Bus A1 {'ts': 1662659778310, 'values': {'fuel': 79.84, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 57.599999999999994, 'temp': 24.6, 'engine_temp': 302.1, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:19, __main__ DEBUG 0) Bus A1 {'ts': 1662659779316, 'values': {'fuel': 79.83, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 61.199999999999996, 'temp': 25.0, 'engine_temp': 300.3, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:20, __main__ DEBUG 0) Bus A1 {'ts': 1662659780343, 'values': {'fuel': 79.79, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 62.699999999999996, 'temp': 24.1, 'engine_temp': 303.0, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:21, __main__ DEBUG 0) Bus A1 {'ts': 1662659781343, 'values': {'fuel': 79.77, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 63.8, 'temp': 22.7, 'engine_temp': 308.3, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:22, __main__ DEBUG 0) Bus A1 {'ts': 1662659782345, 'values': {'fuel': 79.74, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 67.39999999999999, 'temp': 23.8, 'engine_temp': 305.6, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:23, __main__ DEBUG 0) Bus A1 {'ts': 1662659783357, 'values': {'fuel': 79.71, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 69.19999999999999, 'temp': 23.3, 'engine_temp': 296.2, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-09 01:56:26, __main__ DEBUG 1) Bus A1 {'ts': 1662659786371, 'values': {'fuel': 79.63, 'speed': 12.2, 'latitude': '1.29415', 'longitude': '103.7698', 'occupancy': 73.29999999999998, 'temp': 23.9, 'engine_temp': 301.0, 'eta': '1 min 30 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
