Bus D1,103.77517,1.29449,COM 3,Arrived,0
Bus D1,103.77532,1.29418,Opp HSSML,Next Stop,23
Bus D1,103.77546,1.29392,Opp HSSML,Next Stop,22
Bus D1,103.77547,1.29389,Opp HSSML,Next Stop,21
Bus D1,103.77549,1.29385,Opp HSSML,Next Stop,20
Bus D1,103.7755,1.29381,Opp HSSML,Next Stop,19
Bus D1,103.7755,1.29378,Opp HSSML,Next Stop,18
Bus D1,103.77545,1.29376,Opp HSSML,Next Stop,17
Bus D1,103.77542,1.29376,Opp HSSML,Next Stop,16
Bus D1,103.7754,1.29376,Opp HSSML,Next Stop,15
Bus D1,103.77537,1.29375,Opp HSSML,Next Stop,14
Bus D1,103.77532,1.29375,Opp HSSML,Next Stop,13
Bus D1,103.7753,1.2937,Opp HSSML,Next Stop,12
Bus D1,103.77529,1.29368,Opp HSSML,Next Stop,11
Bus D1,103.77528,1.29367,Opp HSSML,Next Stop,10
Bus D1,103.77527,1.29364,Opp HSSML,Next Stop,9
Bus D1,103.77525,1.29358,Opp HSSML,Next Stop,8
Bus D1,103.7752,1.29343,Opp HSSML,Next Stop,7
Bus D1,103.77511,1.29318,Opp HSSML,Next Stop,6
Bus D1,103.77506,1.29306,Opp HSSML,Next Stop,5
Bus D1,103.77506,1.29305,Opp HSSML,Next Stop,4
Bus D1,103.77502,1.29298,Opp HSSML,Next Stop,3
Bus D1,103.775,1.29294,Opp HSSML,Next Stop,2
Bus D1,103.77497,1.29289,Opp HSSML,Next Stop,1
Bus D1,103.77488,1.29275,Opp HSSML,Arrived,0
Bus D1,103.77479,1.29262,Opp NUSS,Next Stop,29
Bus D1,103.77472,1.29252,Opp NUSS,Next Stop,28
Bus D1,103.77469,1.29247,Opp NUSS,Next Stop,27
Bus D1,103.77457,1.29229,Opp NUSS,Next Stop,26
Bus D1,103.77446,1.29217,Opp NUSS,Next Stop,25
Bus D1,103.77439,1.29218,Opp NUSS,Next Stop,24
Bus D1,103.77429,1.29218,Opp NUSS,Next Stop,23
Bus D1,103.77394,1.29204,Opp NUSS,Next Stop,22
Bus D1,103.77391,1.29214,Opp NUSS,Next Stop,21
Bus D1,103.7739,1.29219,Opp NUSS,Next Stop,20
Bus D1,103.77389,1.29221,Opp NUSS,Next Stop,19
Bus D1,103.77387,1.29226,Opp NUSS,Next Stop,18
Bus D1,103.77384,1.2923,Opp NUSS,Next Stop,17
Bus D1,103.77381,1.29234,Opp NUSS,Next Stop,16
Bus D1,103.77367,1.2925,Opp NUSS,Next Stop,15
Bus D1,103.77355,1.29263,Opp NUSS,Next Stop,14
Bus D1,103.77345,1.29272,Opp NUSS,Next Stop,13
Bus D1,103.77342,1.29275,Opp NUSS,Next Stop,12
Bus D1,103.77324,1.29291,Opp NUSS,Next Stop,11
Bus D1,103.77319,1.29295,Opp NUSS,Next Stop,10
Bus D1,103.77311,1.29301,Opp NUSS,Next Stop,9
Bus D1,103.77306,1.29304,Opp NUSS,Next Stop,8
Bus D1,103.77302,1.29307,Opp NUSS,Next Stop,7
Bus D1,103.77297,1.2931,Opp NUSS,Next Stop,6
Bus D1,103.77291,1.29313,Opp NUSS,Next Stop,5
Bus D1,103.77286,1.29316,Opp NUSS,Next Stop,4
Bus D1,103.77278,1.2932,Opp NUSS,Next Stop,3
